,root,strategy,strategy_signal
1532,125.74666472865418,175.30111241057395,175.30111241057395
1533,119.70980831200092,166.88524191742138,166.88524191742138
1534,120.6995811652981,168.26506604708075,168.26506604708075
1535,115.16102200544343,160.5438625943338,160.5438625943338
1536,115.69996772417076,161.29519690785767,161.29519690785767
1537,113.29909102915913,157.94817886722527,157.94817886722527
1538,112.24338928929917,156.47644448945408,156.47644448945408
1539,114.75167532870553,159.97319992150213,159.97319992150213
1540,115.22413811264127,160.6318515984691,160.6318515984691
1541,111.63144785434379,155.6233481905639,155.6233481905639
1542,110.22376512135827,153.6609235843446,153.6609235843446
1543,107.47934258843864,149.83497461000312,149.83497461000312
1544,106.53122457147332,148.51322072150688,148.51322072150688
1545,106.16586688471426,148.00388229050498,148.00388229050498
1546,100.6318317565392,140.288985707111,140.288985707111
1547,99.97089322089784,139.36758345136954,139.36758345136954
1548,99.25448634347711,138.3688538005956,138.3688538005956
1549,100.09732914226208,139.54384544377814,139.54384544377814
1550,103.33869168805096,144.06256934972743,144.06256934972743
1551,101.6527090090878,141.7121719076563,141.7121719076563
1552,102.55915036258487,142.97582512618,142.97582512618
1553,101.25199501984041,141.1535439056721,141.1535439056721
1554,100.883397667259,140.6396891161352,140.6396891161352
1555,103.19151626770835,143.85739480325955,143.85739480325955
1556,108.51294734720292,151.27590399286376,151.27590399286376
1557,107.7667624869649,150.23566140395758,150.23566140395758
1558,110.77946539829854,154.43561511930267,154.43561511930267
1559,109.48411324944274,152.62978851429608,152.62978851429608
1560,110.95423089280449,154.67925248069105,154.67925248069105
1561,118.01449930982841,164.52184281970545,164.52184281970545
1562,116.20709735232438,162.00217699471355,162.00217699471355
1563,113.19660137213191,157.8052999214798,157.8052999214798
1564,116.58208606534106,162.5249418622755,162.5249418622755
1565,114.77813267005239,160.01008361443783,160.01008361443783
1566,115.14318501295509,160.51899637118586,160.51899637118586
1567,117.15848348566931,163.32848690414335,163.32848690414335
1568,113.8863437435184,158.76685707483787,158.76685707483787
1569,111.99912212245603,156.1359161250209,156.1359161250209
1570,112.34554374044278,156.6188561308429,156.6188561308429
1571,114.64547991985698,159.8251548553033,159.8251548553033
1572,116.87189959201064,162.928965569198,162.928965569198
1573,117.61767935732826,163.96864342272667,163.96864342272667
1574,117.66961980059735,164.04105263933545,164.04105263933545
1575,114.72107211156876,159.93053653938392,159.93053653938392
1576,121.35863463231976,169.1838403633321,169.1838403633321
1577,117.78111768865887,164.19648979427544,164.19648979427544
1578,116.18221256585835,161.96748557161294,161.96748557161294
1579,119.58235169348795,166.7075569898918,166.7075569898918
1580,122.35418850937283,170.57172371187787,170.57172371187787
1581,119.90736021908144,167.1606453974643,167.1606453974643
1582,119.71961093266378,166.89890757058572,166.89890757058572
1583,122.13975726022652,170.2727890515268,170.2727890515268
1584,115.83736329747965,161.48673754945898,161.48673754945898
